Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 12th, 2014 11:20 ДП	Временно исполняющий обязанности	Народ и власть	2014/September/1509.txt	в правительство область
РЕШЕНИЕ ТЕРРИТОРИАЛЬНОЙ ИЗБИРАТЕЛЬНОЙ КОМИССИИ БРЯНСКОГО  РАЙОНА	Сентябрь 12th, 2014 11:00 ДП	-	Информация	2014/September/1510.txt	решение территориальный избирательный комиссия брянский  район
НА ПЛОЩАДИ У ОБЕЛИСКА	Сентябрь 19th, 2014 03:06 ПП	   Ирина Галкова,	Район: день за днем	2014/September/1511.txt	на площадь у обелиск
СОЦИАЛЬНАЯ СТИПЕНДИЯ	Сентябрь 19th, 2014 02:49 ПП	В.А. Зинакова,	Службы информируют	2014/September/1512.txt	социальный стипендия
КАК СООБЩИТЬ О ПРОИСШЕСТВИИ	Сентябрь 19th, 2014 02:48 ПП	-	Службы информируют	2014/September/1513.txt	как сообщать о происшествие
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 19th, 2014 02:48 ПП	   Пресс-служба Губернатора и Правительства области.	Народ и власть	2014/September/1514.txt	в правительство область
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Июль 23rd, 2014 10:19 ДП	-	Народ и власть	2014/July/1515.txt	в правительство область
Конкурсы-России.РФ	Июль 21st, 2014 09:02 ДП	-	Информация	2014/July/1516.txt	конкурс-россия.рф
НАША ГОРДОСТЬ — БРЯНСКИЙ КРАЙ	Июль 9th, 2014 03:52 ПП	Артем СЕРГЕЕВ.	Разное	2014/July/1517.txt	наш гордость — брянский край
АДМИНИСТРАЦИЯ БРЯНСКОГО РАЙОНА — ПО НОВОМУ АДРЕСУ	Июль 9th, 2014 03:49 ПП	Пресс-служба.	Информация	2014/July/1518.txt	администрация брянский район — по новый адрес
ЗА ВЕРНОСТЬ ВОИНСКОМУ ДОЛГУ	Июль 9th, 2014 03:48 ПП	Константин ЩЕГЛОВ.	Судьбы людские	2014/July/1519.txt	за верность воинский долг
… И СОЖ — РЕКА, БЕРЕГА В КУВШИНКАХ	Июль 9th, 2014 03:47 ПП	Лидия Коновалова, председатель Брянской районной организации  Профсоюза работников образования и науки РФ.	Разное	2014/July/1520.txt	… и сож — река, берег в кувшинка
ПРИГЛАШАЕМ НА ИЗБИРАТЕЛЬНЫЕ УЧАСТКИ!	Май 16th, 2014 12:44 ПП	 Брянское региональное отделение партии «Единая Россия».	Народ и власть	2014/May/1521.txt	приглашать на избирательный участок!
СЕМЕЙНЫЕ ЦЕННОСТИ — ПРЕВЫШЕ ВСЕГО	Май 16th, 2014 12:42 ПП	Валентин СТЕПАНОВ.	В администрации района	2014/May/1522.txt	семейный ценность — превыше все
«Наши таланты тебе, Россия»	Март 13th, 2014 11:26 ДП	-	Информация	2014/March/1523.txt	«наш талант ты, россия»
БРЯНСКИХ МЕЛОМАНОВ ОЖИДАЕТ «LIFE-SHOW» 	Март 13th, 2014 11:25 ДП	-	Разное	2014/March/1524.txt	брянский меломан ожидать «LIFE-SHOW» 
«ПРОТИВОЯДИЕ» РАВНОДУШИЮ И БЕЗНРАВСТВЕННОСТИ       	Март 13th, 2014 11:23 ДП	-	Разное	2014/March/1525.txt	«противоядие» равнодушие и безнравственность       
ЭСТАФЕТА ОЛИМПИЙСКОГО ОГНЯ — В БРЯНСКЕ!	Январь 17th, 2014 02:43 ПП	-	Разное	2014/January/1526.txt	эстафета олимпийский огонь — в брянск!
СЕССИЯ РАЙСОВЕТА	Январь 17th, 2014 02:41 ПП	-	В администрации района	2014/January/1527.txt	сессия райсовет
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Январь 17th, 2014 02:41 ПП	-	Народ и власть	2014/January/1528.txt	в правительство область
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Январь 17th, 2014 02:40 ПП	-	Народ и власть	2014/January/1529.txt	в брянский областной дума
БРЯНСК И МИНСК ТЕПЕРЬ  ПОБРАТИМЫ	Январь 17th, 2014 02:39 ПП	-	Народ и власть	2014/January/1530.txt	брянск и минск теперь  побратим
ПОМОЖЕМ ОФОРМИТЬ ДОКУМЕНТЫ	Январь 17th, 2014 02:38 ПП	-	Службы информируют	2014/January/1531.txt	помогать оформлять документ
ОПАСНОЕ ИНФЕКЦИОННОЕ ЗАБОЛЕВАНИЕ	Январь 17th, 2014 02:38 ПП	-	Здоровье	2014/January/1532.txt	опасный инфекционный заболевание
ПРАВИЛА БЕЗОПАСНОГО ОМОВЕНИЯ В ПРОРУБИ	Январь 17th, 2014 02:37 ПП	-	Службы информируют	2014/January/1533.txt	правило безопасный омовение в прорубь
«ВЕСЕЛЫЕ СТАРТЫ»	Январь 17th, 2014 02:35 ПП	-	Спорт	2014/January/1534.txt	«веселый старт»
«РАСПАШОНКА К РОЖДЕСТВУ»	Январь 17th, 2014 02:35 ПП	-	Письмо в газету	2014/January/1535.txt	«распашонка к рождество»
РОССИЙСКИМ ГЕРОЯМ И ВОИНАМ, ПАВШИМ В ГОДЫ ПЕРВОЙ МИРОВОЙ ВОЙНЫ	Ноябрь 8th, 2013 11:07 ДП	-	Информация	2013/November/1536.txt	российский герой и воин, пасть в год первый мировой война
С БЛАГОДАРНОСТЬЮ И ОТ ДУШИ	Ноябрь 8th, 2013 11:06 ДП	-	Письмо в газету	2013/November/1537.txt	с благодарность и от душа
БРЯНСКИЙ МОЛКОМБИНАТ  ПОДАРИЛ ПРИЮТУ АВТОМОБИЛЬ	Сентябрь 6th, 2013 09:53 ДП	-	Район: день за днем	2013/September/1538.txt	брянский молкомбинат  подарить приют автомобиль
В ПАМЯТЬ О ГЕРОЯХ-ПАРТИЗАНАХ	Сентябрь 6th, 2013 09:52 ДП	-	Судьбы людские	2013/September/1539.txt	в память о герой-партизан
С ВИЗИТОМ В НЕТЬИНСКОЕ ПОСЕЛЕНИЕ	Сентябрь 6th, 2013 09:50 ДП	-	Район: день за днем	2013/September/1540.txt	с визит в нетьинский поселение
ИНВЕСТОР ИДЁТ В БРЯНСКИЙ РАЙОН	Сентябрь 6th, 2013 09:49 ДП	-	Народ и власть	2013/September/1541.txt	инвестор идти в брянский район
КАК И ПОЧЕМУ ИЗМЕНЯЕТСЯ СТОИМОСТЬ КОММУНАЛЬНЫХ УСЛУГ	Июль 19th, 2013 12:16 ПП	-	Службы информируют	2013/July/1542.txt	как и почему изменяться стоимость коммунальный услуга
УЧАСТНИЦА ЗНАМЕНИТОГО СРАЖЕНИЯ	Июль 19th, 2013 12:15 ПП	-	Наши земляки	2013/July/1543.txt	участница знаменитый сражение
ВАКАНСИИ С ПОМОЩЬЮ ИНТЕРНЕТА	Июль 19th, 2013 10:52 ДП	-	Информация	2013/July/1544.txt	вакансия с помощь интернет
«БЕРЕГИТЕ СВОЮ ЛЮБОВЬ!»	Июль 19th, 2013 10:51 ДП	-	Наши земляки	2013/July/1545.txt	«беречь свой любовь!»
«КУЛЬТУРА» — ФЛАГМАН ПРОИЗВОДСТВА ОВОЩЕЙ В БРЯНСКОЙ ОБЛАСТИ	Июль 19th, 2013 10:50 ДП	-	Район: день за днем	2013/July/1546.txt	«культура» — флагман производство овощ в брянский область
ЧУЖИХ ПРОБЛЕМ НЕ БЫВАЕТ	Июль 19th, 2013 10:49 ДП	-	Наши земляки	2013/July/1547.txt	чужой проблема не бывать
«СВЕЖИЙ ВОЗДУХ»	Июль 19th, 2013 10:48 ДП	-	Информация	2013/July/1548.txt	«свежий воздух»
МЫ ВСЕ ОЧЕНЬ ЕМУ БЛАГОДАРНЫ!	Июль 19th, 2013 10:48 ДП	-	Наши земляки	2013/July/1549.txt	мы все очень он благодарный!
КЛАССНАЯ КОМПАНИЯ!	Июль 19th, 2013 10:47 ДП	-	Разное	2013/July/1550.txt	классный компания!
СПАСИБО ЗА ТОНАЛЬНОСТЬ  ДОБРА И ДРУЖБЫ	Июль 19th, 2013 10:46 ДП	-	В администрации района	2013/July/1551.txt	спасибо за тональность  добро и дружба
ЕСЛИ НУЖНО ПОДАТЬ АПЕЛЛЯЦИЮ	Май 17th, 2013 02:53 ПП	-	Информация	2013/May/1552.txt	если нужно подавать апелляция
ДЛЯ СОБЛЮДЕНИЯ РЕЖИМА СОДЕРЖАНИЯ ОХРАННЫХ ЗОН	Май 17th, 2013 02:52 ПП	-	Информация	2013/May/1553.txt	для соблюдение режим содержание охранный зона
ОБ ОРГАНИЗАЦИИ ЛЕТНЕГО ОТДЫХА ШКОЛЬНИКОВ	Май 17th, 2013 02:50 ПП	-	Информация	2013/May/1554.txt	об организация летний отдых школьник
ПРИГЛАШАЕТ ВАДИМ ЧЕКУСОВ	Март 20th, 2013 02:43 ПП	-	Наши земляки	2013/March/1555.txt	приглашать вадим чекус
УПРОЩАЕТСЯ ПОРЯДОК ВЪЕЗДА И ВРЕМЕННОГО ПРЕБЫВАНИЯ В ПОГРАНИЧНОЙ ЗОНЕ	Март 20th, 2013 10:41 ДП	-	Службы информируют	2013/March/1556.txt	упрощаться порядок въезд и временный пребывание в пограничный зона
ЖИТЬ ДЛЯ ЛЮДЕЙ	Январь 15th, 2013 07:39 ДП	-	Наши земляки	2013/January/1557.txt	жить для человек
ДЛЯ ПОЛУЧЕНИЯ НОВОГОДНЕГО ПОДАРКА	Ноябрь 9th, 2012 12:01 ПП	-	Службы информируют	2012/November/1558.txt	для получение новогодний подарок
НАГРАДЫ САМЫМ ДОСТОЙНЫМ	Ноябрь 9th, 2012 12:00 ПП	-	Профессиональный праздник	2012/November/1559.txt	награда самый достойный
О СОЦИАЛЬНО-ЭКОНОМИЧЕСКОМ РАЗВИТИИ БРЯНСКОГО РАЙОНА	Ноябрь 9th, 2012 11:59 ДП	-	Народ и власть	2012/November/1560.txt	о социально-экономический развитие брянский район
ТРУДОВЫЕ БУДНИ ПРОДОЛЖАЮТСЯ	Ноябрь 9th, 2012 11:26 ДП	-	Район: день за днем	2012/November/1561.txt	трудовой будни продолжаться
К СЛУЖБЕ В АРМИИ ГОТОВЫ	Ноябрь 9th, 2012 11:26 ДП	-	Наши земляки	2012/November/1562.txt	к служба в армия готовый
ОТКРЫТИЕ — ЧЕРЕЗ МЕСЯЦ	Ноябрь 9th, 2012 11:20 ДП	-	Район: день за днем	2012/November/1563.txt	открытие — через месяц
БЫЛА ПОДПОЛЬЩИЦЕЙ	Ноябрь 9th, 2012 09:36 ДП	-	Судьбы людские	2012/November/1564.txt	быть подпольщица
МАСТЕРА СЦЕНИЧЕСКОГО ОБЩЕНИЯ	Ноябрь 9th, 2012 09:34 ДП	-	Район: день за днем	2012/November/1565.txt	мастер сценический общение
РАБОТА ПРОДОЛЖАЕТСЯ	Ноябрь 9th, 2012 09:33 ДП	-	Информация	2012/November/1566.txt	работа продолжаться
МОЛОДЁЖЬ ПРЕДСТАВИЛА СОЦПРОЕКТЫ	Ноябрь 9th, 2012 09:31 ДП	-	В администрации района	2012/November/1567.txt	молодежь представлять соцпроект
ЕСТЬ РЕЗУЛЬТАТ	Сентябрь 6th, 2012 05:00 ПП	-	Народ и власть	2012/September/1568.txt	быть результат
ПОДДЕРЖИВАЕМ ДЕНИНА	Июль 25th, 2012 02:11 ПП	-	В администрации района	2012/July/1569.txt	поддерживать денин
ПУТИН ПОКОРИЛ СВОЕЙ ДОБРОЖЕЛАТЕЛЬНОСТЬЮ И ЗАИНТЕРЕСОВАННОСТЬЮ	Июль 19th, 2012 09:47 ДП	-	В администрации района	2012/July/1570.txt	путин покорять свой доброжелательность и заинтересованность
