"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"СТАВКА НА ИНДУСТРИАЛИЗАЦИЮ"	"Ноябрь 28th, 2014 11:22 ДП"	"        Н.М. БЕЛОУС,"	"Народ и власть"	"2014/November/1487.txt"
"ПОЛУЧЕНИЕ СЕРТИФИКАТА"	"Ноябрь 28th, 2014 11:20 ДП"	"УПФР (ГУ) в Брянском муниципальном районе."	"Службы информируют"	"2014/November/1488.txt"
"АЛЕКСАНДР БОГОМАЗ: «ФРОНТОВИКИ» ДОЛЖНЫ «ЗАСВЕЧИВАТЬ» И ПОКАЗЫВАТЬ ТЕ НАПРАВЛЕНИЯ, ГДЕ ВЛАСТЬ РАБОТАЕТ НЕЭФФЕКТИВНО!»"	"Ноябрь 21st, 2014 09:12 ДП"	"-"	"Народ и власть"	"2014/November/1489.txt"
"ЧЕЛОВЕК С БОЛЬШИМ СЕРДЦЕМ"	"Ноябрь 21st, 2014 09:10 ДП"	"С уважением, родители:"	"Письмо в газету"	"2014/November/1490.txt"
"ПРИЮТ «ДОБРЫЕ РУКИ»"	"Ноябрь 21st, 2014 09:09 ДП"	"-"	"Спрашивали – отвечаем"	"2014/November/1491.txt"
"СПАСИБО ЧИТАТЕЛЯМ"	"Ноябрь 21st, 2014 09:08 ДП"	"Работники межпоселенческой"	"Разное"	"2014/November/1492.txt"
"  ПОБЕДА ДОБРУНИ"	"Ноябрь 21st, 2014 09:08 ДП"	"Дмитрий НИКОЛАЕВ."	"Спорт"	"2014/November/1493.txt"
"СПЕЦИАЛИСТ ВЫСОКОГО КЛАССА"	"Ноябрь 21st, 2014 09:07 ДП"	"Юлия Таперо,"	"Наши земляки"	"2014/November/1494.txt"
"СПОРТСМЕН БРЯНСКОГО РАЙОНА СТАЛ РЕКОРДСМЕНОМ БРЯНСКОЙ ОБЛАСТИ ПО ЖИМУ ЛЁЖА"	"Ноябрь 21st, 2014 09:06 ДП"	"Дмитрий Кулешов."	"Спорт"	"2014/November/1495.txt"
"ПРОДЛЕНО ВСТУПЛЕНИЕ В ПРОГРАММУ ГОСУДАРСТВЕННОГО СОФИНАНСИРОВАНИЯ ПЕНСИИ"	"Ноябрь 21st, 2014 09:05 ДП"	"УПФР (ГУ) в Брянском районе."	"Службы информируют"	"2014/November/1496.txt"
"ВАЛЕНТИН КУЗЬМИН: «КОРРУПЦИЮ МОЖНО ПОБЕДИТЬ, ТОЛЬКО ДЕЙСТВУЯ СООБЩА С МЕСТНОЙ ВЛАСТЬЮ»"	"Ноябрь 7th, 2014 10:37 ДП"	"Наталья Тимченко."	"Народ и власть"	"2014/November/1497.txt"
"ВМЕСТЕ МЫ — РОССИЯ!"	"Ноябрь 7th, 2014 10:36 ДП"	"-"	"Народ и власть"	"2014/November/1498.txt"
"ДЕНЬ ПРИЗЫВНИКА"	"Ноябрь 7th, 2014 10:35 ДП"	"Артур СЕРГЕЕВ."	"Район: день за днем"	"2014/November/1499.txt"
"НАШ ЗНАМЕНИТЫЙ ЗЕМЛЯК"	"Ноябрь 7th, 2014 10:34 ДП"	"Валентина Шатунова,"	"Наши земляки"	"2014/November/1500.txt"
"ВНИМАНИЮ ГРАЖДАН, ПРИБЫВШИХ С ТЕРРИТОРИИ УКРАИНЫ!"	"Ноябрь 7th, 2014 10:33 ДП"	"Оперативный штаб Брянского района"	"Информация"	"2014/November/1501.txt"
"ПОМОЩЬ УКРАИНСКИМ БЕЖЕНЦАМ"	"Ноябрь 7th, 2014 10:32 ДП"	"-"	"В администрации района"	"2014/November/1502.txt"
"ПРИШЛО ВРЕМЯ ДЕЙСТВОВАТЬ!"	"Сентябрь 12th, 2014 11:31 ДП"	"Евгений Паромный."	"Народ и власть"	"2014/September/1503.txt"
"ЖКХ: ВАЖНО ЗНАТЬ ПРИОРИТЕТЫ"	"Сентябрь 12th, 2014 11:29 ДП"	"Александр КАЗАКОВ."	"Район: день за днем"	"2014/September/1504.txt"
"ПОВЫСИТЬ ЭФФЕКТИВНОСТЬ РАБОТЫ АПК"	"Сентябрь 12th, 2014 11:28 ДП"	"  Светлана РОМАШОВА."	"Народ и власть"	"2014/September/1505.txt"
"«ЗОЛОТО» НАСТИ ШАМАНОВОЙ"	"Сентябрь 12th, 2014 11:27 ДП"	"Вероника БОГАТЫРЁВА."	"Наши земляки"	"2014/September/1506.txt"
"НАША ЛЕТНЯЯ КУЛЬТУРНАЯ ПРОГРАММА"	"Сентябрь 12th, 2014 11:26 ДП"	"    Директор Меркульевского ДК"	"Район: день за днем"	"2014/September/1507.txt"
"НЕ ОСТАВАЙТЕСЬ РАВНОДУШНЫМИ!"	"Сентябрь 12th, 2014 11:24 ДП"	"-"	"Службы информируют"	"2014/September/1508.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 12th, 2014 11:20 ДП"	"Временно исполняющий обязанности"	"Народ и власть"	"2014/September/1509.txt"
"РЕШЕНИЕ ТЕРРИТОРИАЛЬНОЙ ИЗБИРАТЕЛЬНОЙ КОМИССИИ БРЯНСКОГО  РАЙОНА"	"Сентябрь 12th, 2014 11:00 ДП"	"-"	"Информация"	"2014/September/1510.txt"
"НА ПЛОЩАДИ У ОБЕЛИСКА"	"Сентябрь 19th, 2014 03:06 ПП"	"   Ирина Галкова,"	"Район: день за днем"	"2014/September/1511.txt"
"СОЦИАЛЬНАЯ СТИПЕНДИЯ"	"Сентябрь 19th, 2014 02:49 ПП"	"В.А. Зинакова,"	"Службы информируют"	"2014/September/1512.txt"
"КАК СООБЩИТЬ О ПРОИСШЕСТВИИ"	"Сентябрь 19th, 2014 02:48 ПП"	"-"	"Службы информируют"	"2014/September/1513.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 19th, 2014 02:48 ПП"	"   Пресс-служба Губернатора и Правительства области."	"Народ и власть"	"2014/September/1514.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 23rd, 2014 10:19 ДП"	"-"	"Народ и власть"	"2014/July/1515.txt"
"Конкурсы-России.РФ"	"Июль 21st, 2014 09:02 ДП"	"-"	"Информация"	"2014/July/1516.txt"
"НАША ГОРДОСТЬ — БРЯНСКИЙ КРАЙ"	"Июль 9th, 2014 03:52 ПП"	"Артем СЕРГЕЕВ."	"Разное"	"2014/July/1517.txt"
"АДМИНИСТРАЦИЯ БРЯНСКОГО РАЙОНА — ПО НОВОМУ АДРЕСУ"	"Июль 9th, 2014 03:49 ПП"	"Пресс-служба."	"Информация"	"2014/July/1518.txt"
"ЗА ВЕРНОСТЬ ВОИНСКОМУ ДОЛГУ"	"Июль 9th, 2014 03:48 ПП"	"Константин ЩЕГЛОВ."	"Судьбы людские"	"2014/July/1519.txt"
"… И СОЖ — РЕКА, БЕРЕГА В КУВШИНКАХ"	"Июль 9th, 2014 03:47 ПП"	"Лидия Коновалова, председатель Брянской районной организации  Профсоюза работников образования и науки РФ."	"Разное"	"2014/July/1520.txt"
"ПРИГЛАШАЕМ НА ИЗБИРАТЕЛЬНЫЕ УЧАСТКИ!"	"Май 16th, 2014 12:44 ПП"	" Брянское региональное отделение партии «Единая Россия»."	"Народ и власть"	"2014/May/1521.txt"
"СЕМЕЙНЫЕ ЦЕННОСТИ — ПРЕВЫШЕ ВСЕГО"	"Май 16th, 2014 12:42 ПП"	"Валентин СТЕПАНОВ."	"В администрации района"	"2014/May/1522.txt"
"«Наши таланты тебе, Россия»"	"Март 13th, 2014 11:26 ДП"	"-"	"Информация"	"2014/March/1523.txt"
"БРЯНСКИХ МЕЛОМАНОВ ОЖИДАЕТ «LIFE-SHOW» "	"Март 13th, 2014 11:25 ДП"	"-"	"Разное"	"2014/March/1524.txt"
"«ПРОТИВОЯДИЕ» РАВНОДУШИЮ И БЕЗНРАВСТВЕННОСТИ       "	"Март 13th, 2014 11:23 ДП"	"-"	"Разное"	"2014/March/1525.txt"
"ЭСТАФЕТА ОЛИМПИЙСКОГО ОГНЯ — В БРЯНСКЕ!"	"Январь 17th, 2014 02:43 ПП"	"-"	"Разное"	"2014/January/1526.txt"
"СЕССИЯ РАЙСОВЕТА"	"Январь 17th, 2014 02:41 ПП"	"-"	"В администрации района"	"2014/January/1527.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 17th, 2014 02:41 ПП"	"-"	"Народ и власть"	"2014/January/1528.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 17th, 2014 02:40 ПП"	"-"	"Народ и власть"	"2014/January/1529.txt"
"БРЯНСК И МИНСК ТЕПЕРЬ  ПОБРАТИМЫ"	"Январь 17th, 2014 02:39 ПП"	"-"	"Народ и власть"	"2014/January/1530.txt"
"ПОМОЖЕМ ОФОРМИТЬ ДОКУМЕНТЫ"	"Январь 17th, 2014 02:38 ПП"	"-"	"Службы информируют"	"2014/January/1531.txt"
"ОПАСНОЕ ИНФЕКЦИОННОЕ ЗАБОЛЕВАНИЕ"	"Январь 17th, 2014 02:38 ПП"	"-"	"Здоровье"	"2014/January/1532.txt"
"ПРАВИЛА БЕЗОПАСНОГО ОМОВЕНИЯ В ПРОРУБИ"	"Январь 17th, 2014 02:37 ПП"	"-"	"Службы информируют"	"2014/January/1533.txt"
"«ВЕСЕЛЫЕ СТАРТЫ»"	"Январь 17th, 2014 02:35 ПП"	"-"	"Спорт"	"2014/January/1534.txt"
"«РАСПАШОНКА К РОЖДЕСТВУ»"	"Январь 17th, 2014 02:35 ПП"	"-"	"Письмо в газету"	"2014/January/1535.txt"
"РОССИЙСКИМ ГЕРОЯМ И ВОИНАМ, ПАВШИМ В ГОДЫ ПЕРВОЙ МИРОВОЙ ВОЙНЫ"	"Ноябрь 8th, 2013 11:07 ДП"	"-"	"Информация"	"2013/November/1536.txt"
"С БЛАГОДАРНОСТЬЮ И ОТ ДУШИ"	"Ноябрь 8th, 2013 11:06 ДП"	"-"	"Письмо в газету"	"2013/November/1537.txt"
"БРЯНСКИЙ МОЛКОМБИНАТ  ПОДАРИЛ ПРИЮТУ АВТОМОБИЛЬ"	"Сентябрь 6th, 2013 09:53 ДП"	"-"	"Район: день за днем"	"2013/September/1538.txt"
"В ПАМЯТЬ О ГЕРОЯХ-ПАРТИЗАНАХ"	"Сентябрь 6th, 2013 09:52 ДП"	"-"	"Судьбы людские"	"2013/September/1539.txt"
"С ВИЗИТОМ В НЕТЬИНСКОЕ ПОСЕЛЕНИЕ"	"Сентябрь 6th, 2013 09:50 ДП"	"-"	"Район: день за днем"	"2013/September/1540.txt"
"ИНВЕСТОР ИДЁТ В БРЯНСКИЙ РАЙОН"	"Сентябрь 6th, 2013 09:49 ДП"	"-"	"Народ и власть"	"2013/September/1541.txt"
"КАК И ПОЧЕМУ ИЗМЕНЯЕТСЯ СТОИМОСТЬ КОММУНАЛЬНЫХ УСЛУГ"	"Июль 19th, 2013 12:16 ПП"	"-"	"Службы информируют"	"2013/July/1542.txt"
"УЧАСТНИЦА ЗНАМЕНИТОГО СРАЖЕНИЯ"	"Июль 19th, 2013 12:15 ПП"	"-"	"Наши земляки"	"2013/July/1543.txt"
"ВАКАНСИИ С ПОМОЩЬЮ ИНТЕРНЕТА"	"Июль 19th, 2013 10:52 ДП"	"-"	"Информация"	"2013/July/1544.txt"
"«БЕРЕГИТЕ СВОЮ ЛЮБОВЬ!»"	"Июль 19th, 2013 10:51 ДП"	"-"	"Наши земляки"	"2013/July/1545.txt"
"«КУЛЬТУРА» — ФЛАГМАН ПРОИЗВОДСТВА ОВОЩЕЙ В БРЯНСКОЙ ОБЛАСТИ"	"Июль 19th, 2013 10:50 ДП"	"-"	"Район: день за днем"	"2013/July/1546.txt"
"ЧУЖИХ ПРОБЛЕМ НЕ БЫВАЕТ"	"Июль 19th, 2013 10:49 ДП"	"-"	"Наши земляки"	"2013/July/1547.txt"
"«СВЕЖИЙ ВОЗДУХ»"	"Июль 19th, 2013 10:48 ДП"	"-"	"Информация"	"2013/July/1548.txt"
"МЫ ВСЕ ОЧЕНЬ ЕМУ БЛАГОДАРНЫ!"	"Июль 19th, 2013 10:48 ДП"	"-"	"Наши земляки"	"2013/July/1549.txt"
"КЛАССНАЯ КОМПАНИЯ!"	"Июль 19th, 2013 10:47 ДП"	"-"	"Разное"	"2013/July/1550.txt"
"СПАСИБО ЗА ТОНАЛЬНОСТЬ  ДОБРА И ДРУЖБЫ"	"Июль 19th, 2013 10:46 ДП"	"-"	"В администрации района"	"2013/July/1551.txt"
"ЕСЛИ НУЖНО ПОДАТЬ АПЕЛЛЯЦИЮ"	"Май 17th, 2013 02:53 ПП"	"-"	"Информация"	"2013/May/1552.txt"
"ДЛЯ СОБЛЮДЕНИЯ РЕЖИМА СОДЕРЖАНИЯ ОХРАННЫХ ЗОН"	"Май 17th, 2013 02:52 ПП"	"-"	"Информация"	"2013/May/1553.txt"
"ОБ ОРГАНИЗАЦИИ ЛЕТНЕГО ОТДЫХА ШКОЛЬНИКОВ"	"Май 17th, 2013 02:50 ПП"	"-"	"Информация"	"2013/May/1554.txt"
"ПРИГЛАШАЕТ ВАДИМ ЧЕКУСОВ"	"Март 20th, 2013 02:43 ПП"	"-"	"Наши земляки"	"2013/March/1555.txt"
"УПРОЩАЕТСЯ ПОРЯДОК ВЪЕЗДА И ВРЕМЕННОГО ПРЕБЫВАНИЯ В ПОГРАНИЧНОЙ ЗОНЕ"	"Март 20th, 2013 10:41 ДП"	"-"	"Службы информируют"	"2013/March/1556.txt"
"ЖИТЬ ДЛЯ ЛЮДЕЙ"	"Январь 15th, 2013 07:39 ДП"	"-"	"Наши земляки"	"2013/January/1557.txt"
"ДЛЯ ПОЛУЧЕНИЯ НОВОГОДНЕГО ПОДАРКА"	"Ноябрь 9th, 2012 12:01 ПП"	"-"	"Службы информируют"	"2012/November/1558.txt"
"НАГРАДЫ САМЫМ ДОСТОЙНЫМ"	"Ноябрь 9th, 2012 12:00 ПП"	"-"	"Профессиональный праздник"	"2012/November/1559.txt"
"О СОЦИАЛЬНО-ЭКОНОМИЧЕСКОМ РАЗВИТИИ БРЯНСКОГО РАЙОНА"	"Ноябрь 9th, 2012 11:59 ДП"	"-"	"Народ и власть"	"2012/November/1560.txt"
"ТРУДОВЫЕ БУДНИ ПРОДОЛЖАЮТСЯ"	"Ноябрь 9th, 2012 11:26 ДП"	"-"	"Район: день за днем"	"2012/November/1561.txt"
"К СЛУЖБЕ В АРМИИ ГОТОВЫ"	"Ноябрь 9th, 2012 11:26 ДП"	"-"	"Наши земляки"	"2012/November/1562.txt"
"ОТКРЫТИЕ — ЧЕРЕЗ МЕСЯЦ"	"Ноябрь 9th, 2012 11:20 ДП"	"-"	"Район: день за днем"	"2012/November/1563.txt"
"БЫЛА ПОДПОЛЬЩИЦЕЙ"	"Ноябрь 9th, 2012 09:36 ДП"	"-"	"Судьбы людские"	"2012/November/1564.txt"
"МАСТЕРА СЦЕНИЧЕСКОГО ОБЩЕНИЯ"	"Ноябрь 9th, 2012 09:34 ДП"	"-"	"Район: день за днем"	"2012/November/1565.txt"
"РАБОТА ПРОДОЛЖАЕТСЯ"	"Ноябрь 9th, 2012 09:33 ДП"	"-"	"Информация"	"2012/November/1566.txt"
"МОЛОДЁЖЬ ПРЕДСТАВИЛА СОЦПРОЕКТЫ"	"Ноябрь 9th, 2012 09:31 ДП"	"-"	"В администрации района"	"2012/November/1567.txt"
"ЕСТЬ РЕЗУЛЬТАТ"	"Сентябрь 6th, 2012 05:00 ПП"	"-"	"Народ и власть"	"2012/September/1568.txt"
"ПОДДЕРЖИВАЕМ ДЕНИНА"	"Июль 25th, 2012 02:11 ПП"	"-"	"В администрации района"	"2012/July/1569.txt"
"ПУТИН ПОКОРИЛ СВОЕЙ ДОБРОЖЕЛАТЕЛЬНОСТЬЮ И ЗАИНТЕРЕСОВАННОСТЬЮ"	"Июль 19th, 2012 09:47 ДП"	"-"	"В администрации района"	"2012/July/1570.txt"
"Брянские предприниматели узнали о возможностях господдержки"	"Июль 17th, 2012 04:03 ПП"	"-"	"Информация"	"2012/July/1571.txt"
"«Rock Холмы — 2012»"	"Июль 17th, 2012 03:59 ПП"	"-"	"Информация"	"2012/July/1572.txt"
"ДИСЦИПЛИНА В АРМИИ ЗАКАЛИТ ХАРАКТЕР"	"Ноябрь 7th, 2011 03:29 ПП"	"-"	"Район: день за днем"	"2011/November/1573.txt"
"ПО ДЕЛАМ ИХ И ЧЕСТЬ"	"Ноябрь 7th, 2011 03:27 ПП"	"-"	"Район: день за днем"	"2011/November/1574.txt"
"СОЗДАНЫ ВСЕ УСЛОВИЯ ДЛЯ ОЗДОРОВЛЕНИЯ ДЕТЕЙ"	"Июль 6th, 2011 09:35 ДП"	"-"	"Народ и власть"	"2011/July/1575.txt"
"ЗДРАВЫЙ СМЫСЛ ДОЛЖЕН БЫТЬ ВО ВСЁМ"	"Май 6th, 2011 09:51 ДП"	"-"	"В администрации района"	"2011/May/1576.txt"
"ТРУДОВОЙ ПОДВИГ ПЕЛАГЕИ СТЕПАНОВНЫ"	"Май 6th, 2011 09:50 ДП"	"-"	"Судьбы людские"	"2011/May/1577.txt"
"МЫ ПОМНИМ О ВАШЕМ ПОДВИГЕ!"	"Май 6th, 2011 09:49 ДП"	"-"	"В администрации района"	"2011/May/1578.txt"
"Информация"	"Май 6th, 2011 09:47 ДП"	"-"	"Информация"	"2011/May/1579.txt"
"ГРАФИК ВЫЕЗДОВ ПЕРЕДВИЖНОГО ФЛЮОРОГРАФА В БРЯНСКОМ РАЙОНЕ"	"Май 6th, 2011 09:46 ДП"	"-"	"Информация"	"2011/May/1580.txt"
"ПРИЁМ ГРАЖДАН В СУПОНЕВО"	"Май 6th, 2011 09:45 ДП"	"-"	"Народ и власть"	"2011/May/1581.txt"
"«МОЯ ВОЛШЕБНАЯ ЗИМА»"	"Январь 15th, 2016 11:29 ДП"	"-"	"Разное"	"2016/January/1582.txt"
"БУДЬТЕ ОСТОРОЖНЫ С ОГНЕМ"	"Январь 15th, 2016 11:28 ДП"	"-"	"Службы информируют"	"2016/January/1583.txt"
"ДУШИ ПРЕКРАСНЫЕ ПОРЫВЫ"	"Январь 15th, 2016 11:28 ДП"	"-"	"Разное"	"2016/January/1584.txt"
"С ЧУВСТВОМ ПАТРИОТИЗМА"	"Ноябрь 11th, 2015 09:58 ДП"	"-"	"Профессиональный праздник"	"2015/November/1585.txt"
"ИНФОРМКУРЬЕР"	"Ноябрь 11th, 2015 09:57 ДП"	"-"	"Район: день за днем"	"2015/November/1586.txt"
"СПАСИБО ЗА ЧУТКОСТЬ И ПОНИМАНИЕ"	"Сентябрь 11th, 2015 12:06 ПП"	"-"	"Наши земляки"	"2015/September/1587.txt"
"БУДЬТЕ ОСТОРОЖНЫ, КАТАЯСЬ НА ЛОДКАХ"	"Сентябрь 11th, 2015 12:05 ПП"	"-"	"Службы информируют"	"2015/September/1588.txt"
"ВСЕРОССИЙСКИЙ КОНГРЕСС МУНИЦИПАЛИТЕТОВ"	"Июль 16th, 2015 12:33 ПП"	"-"	"Разное"	"2015/July/1589.txt"
"ЗА ЛЮБОВЬ И ВЕРНОСТЬ (ФОТОРЕПОРТАЖ)"	"Июль 16th, 2015 12:27 ПП"	"-"	"Район: день за днем"	"2015/July/1590.txt"
"ЗА ВЕРНОСТЬ И ЛЮБОВЬ!"	"Июль 16th, 2015 12:18 ПП"	"-"	"Район: день за днем"	"2015/July/1591.txt"
"ВЫПЛАЧИВАЕТЕ ЗАРПЛАТУ НИЖЕ ПРОЖИТОЧНОГО МИНИМУМА? ОБЪЯСНИТЕ ПРИЧИНЫ"	"Июль 16th, 2015 11:45 ДП"	"-"	"Службы информируют"	"2015/July/1592.txt"
"БЕСПЛАТНЫЙ ИНТЕРНЕТ-РЕСУРС ДЛЯ ЖИТЕЛЕЙ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ"	"Июль 16th, 2015 11:28 ДП"	"-"	"Информация"	"2015/July/1593.txt"
"ДЕТСКИЙ ПРИЮТ  ИСКРЕННЕ БЛАГОДАРИТ"	"Июль 16th, 2015 10:58 ДП"	"-"	"Письмо в газету"	"2015/July/1594.txt"
"ГЛАВНОЕ – УЧАСТИЕ"	"Май 8th, 2015 09:47 ДП"	"Артур СЕРГЕЕВ."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1595.txt"
"ПОШЛИ ПО ЗОВУ ПАМЯТИ"	"Май 8th, 2015 09:46 ДП"	"Валентин СТЕПАНОВ."	"Увековечение памяти защитников Отечества"	"2015/May/1596.txt"
"ПРАЗДНИЧНЫЕ ИНСТАЛЛЯЦИИ В БРЯНСКЕ"	"Май 8th, 2015 09:44 ДП"	"-"	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1597.txt"
"ОБ ОСОБОМ ПРОТИВОПОЖАРНОМ РЕЖИМЕ В БРЯНСКОЙ ОБЛАСТИ"	"Май 8th, 2015 09:44 ДП"	"-"	"Информация"	"2015/May/1598.txt"
"ЗА ВЫСОКОЕ ИСПОЛНИТЕЛЬСКОЕ МАСТЕРСТВО"	"Май 8th, 2015 09:43 ДП"	"Виктория БУРОВА."	"Культурно-массовые, спортивные и общественно-просветительские мероприятия"	"2015/May/1599.txt"
